guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
crr.AfnVRi,England,England,Constituent country of the United Kingdom., ,London,London,,,Not a sovereign country,,"<img src=""ug-flag-england.svg"" />",,,"<img src=""ug-map-england.png"" />",UG::Europe
fLa47kwPQ|,Scotland,Skottland,Constituent country of the United Kingdom., ,Edinburgh,Edinburgh,,,,,"<img src=""ug-flag-scotland.svg"" />",,,"<img src=""ug-map-scotland.png"" />",UG::Europe
"qip%,jz5{B",United Kingdom,Storbritannien, , ,London,London,,,Sovereign country,,"<img src=""ug-flag-united_kingdom.svg"" />",,,"<img src=""ug-map-united_kingdom.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
a>/E!W3aZ:,Northern Ireland,Nordirland,Constituent country of the United Kingdom., ,Belfast,Belfast,,,,,,,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe
kqgh09rAu/,France,Frankrike, , ,Paris,Paris,,,,,"<img src=""ug-flag-france.svg"" />",,,"<img src=""ug-map-france.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
f<$dGtu.n+,Wales,Wales,Constituent country of the United Kingdom., ,Cardiff,Cardiff,,,,,"<img src=""ug-flag-wales.svg"" />",,,"<img src=""ug-map-wales.png"" />",UG::Europe
h<F-8<;jT{,Georgia,Georgien, , ,Tbilisi,Tbilisi,,,,,"<img src=""ug-flag-georgia.svg"" />",,,"<img src=""ug-map-georgia.png"" />",UG::Europe UG::Sovereign_State
hJ7x:*PI9*,Germany,Tyskland, , ,Berlin,Berlin,,,,,"<img src=""ug-flag-germany.svg"" />",,,"<img src=""ug-map-germany.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
lr1v|Atq>-,Greece,Grekland, , ,Athens,Aten,,Även Athen,,,"<img src=""ug-flag-greece.svg"" />",,,"<img src=""ug-map-greece.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
gX&04dwF4K,Greenland,Grönland,Constituent country in the Kingdom of Denmark., ,Nuuk,Nuuk,,,,,"<img src=""ug-flag-greenland.svg"" />",,,"<img src=""ug-map-greenland.png"" />",UG::North_America
kOKi`(Zy9C,Hungary,Ungern, , ,Budapest,Budapest,,,,,"<img src=""ug-flag-hungary.svg"" />",,,"<img src=""ug-map-hungary.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
e#egEUHJ3(,Albania,Albanien, , ,Tirana,Tirana,,,,,"<img src=""ug-flag-albania.svg"" />",,,"<img src=""ug-map-albania.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
b|eaD7qKo],Andorra,Andorra, , ,Andorra la Vella,Andorra la Vella,,,,,"<img src=""ug-flag-andorra.png"" />","Moldova (wider, coat of arms with eagle)",,"<img src=""ug-map-andorra.png"" />",UG::Europe UG::Sovereign_State
pAI(peiC8R,Austria,Österrike, , ,Vienna,Wien,,,,,"<img src=""ug-flag-austria.svg"" />","Latvia (darker red, narrower white band)",,"<img src=""ug-map-austria.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
ii$pXyvZl*,Azerbaijan,Azerbajdzjan, , ,Baku,Baku,,,,,"<img src=""ug-flag-azerbaijan.svg"" />",,,"<img src=""ug-map-azerbaijan.png"" />",UG::Europe UG::Sovereign_State
"jl7,HNQ-*C",Belarus,Vitryssland, , ,Minsk,Minsk,,,,,"<img src=""ug-flag-belarus.svg"" />",,,"<img src=""ug-map-belarus.png"" />",UG::Europe UG::Sovereign_State
h].V+TH66),Belgium,Belgien, , ,Brussels,Bryssel,,,Sovereign country,,"<img src=""ug-flag-belgium.svg"" />",,,"<img src=""ug-map-belgium.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
k#zvw56%32,Bosnia and Herzegovina,Bosnien och Hercegovina, , ,Sarajevo,Sarajevo,,,,,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />",,,"<img src=""ug-map-bosnia_and_herzegovina.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
sdBS(n6JY3,Bulgaria,Bulgarien, , ,Sofia,Sofia,,,,,"<img src=""ug-flag-bulgaria.svg"" />",,,"<img src=""ug-map-bulgaria.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
~W|86[*J^),Croatia,Kroatien, , ,Zagreb,Zagreb,,,,,"<img src=""ug-flag-croatia.png"" />",,,"<img src=""ug-map-croatia.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
r8ZO7&APwX,Czech Republic,Tjeckien,Also known as Czechia., ,Prague,Prag,,,,,"<img src=""ug-flag-czech_republic.svg"" />",,,"<img src=""ug-map-czech_republic.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
i[lO#Rj1KP,Denmark,Danmark, , ,Copenhagen,Köpenhamn,,,,,"<img src=""ug-flag-denmark.svg"" />",,,"<img src=""ug-map-denmark.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
5)Q@s0rds,Estonia,Estland, , ,Tallinn,Tallinn,,Tidigare även Reval,,,"<img src=""ug-flag-estonia.svg"" />",,,"<img src=""ug-map-estonia.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
"iDlf,{rw71",Faroe Islands,Färöarna,Constituent country in the Kingdom of Denmark., ,Tórshavn,Tórshavn,,Även Torshamn,,,"<img src=""ug-flag-faroe_islands.svg"" />","Iceland (blue background, red and white cross), Norway (red background, blue and white cross)",,"<img src=""ug-map-faroe_islands.png"" />",UG::Europe
"iK8dA,t]9u",Finland,Finland, , ,Helsinki,Helsingfors,,,,,"<img src=""ug-flag-finland.svg"" />",,,"<img src=""ug-map-finland.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
hgM#_P8X&X,Iceland,Island, , ,Reykjavík,Reykjavik,,,,,"<img src=""ug-flag-iceland.svg"" />","Norway (red background, blue cross), Faroe Islands (white background, red and blue cross)",,"<img src=""ug-map-iceland.png"" />",UG::Europe UG::Sovereign_State
"qyC@,:!`--",Ireland,Irland, , ,Dublin,Dublin,,,,,"<img src=""ug-flag-ireland.svg"" />","Ivory Coast (green and orange flipped, narrower)",,"<img src=""ug-map-ireland.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
a|+2%dYY*5,Italy,Italien, , ,Rome,Rom,,,,,"<img src=""ug-flag-italy.svg"" />",,,"<img src=""ug-map-italy.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
"kp[>1&>A,$",Latvia,Lettland, , ,Riga,Riga,,,,,"<img src=""ug-flag-latvia.svg"" />","Austria (brighter red, wider white band)",,"<img src=""ug-map-latvia.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
jl|.Fb5A*|,Liechtenstein,Liechtenstein, , ,Vaduz,Vaduz,,,,,"<img src=""ug-flag-liechtenstein.svg"" />",,,"<img src=""ug-map-liechtenstein.png"" />",UG::Europe UG::Sovereign_State
i}a{7=hw-t,Lithuania,Litauen, , ,Vilnius,Vilnius,,Tidare Vilna eller Vilnia,,,"<img src=""ug-flag-lithuania.svg"" />",,,"<img src=""ug-map-lithuania.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
gbA2F8~vwh,Luxembourg,Luxemburg, , ,Luxembourg City,Luxemburg,Officially Luxembourg.,,,,"<img src=""ug-flag-luxembourg.svg"" />",Netherlands (darker blue),,"<img src=""ug-map-luxembourg.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
pe!a~})jr(,North Macedonia,Nordmakedonien,Formerly known as Macedonia., ,Skopje,Skopje,,,,,"<img src=""ug-flag-north_macedonia.svg"" />",,,"<img src=""ug-map-north_macedonia.png"" />",UG::Europe UG::Sovereign_State
l-N;VrJ@wL,Malta,Malta, , ,Valletta,Valletta,,,,,"<img src=""ug-flag-malta.svg"" />",,,"<img src=""ug-map-malta.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
|[%dgi.pe,Moldova,Moldavien, , ,Chișinău,Chișinău,,Tidigare Kishinev eller Kisjinjov,,,"<img src=""ug-flag-moldova.svg"" />","Andorra (narrower, coat of arms with motto)",,"<img src=""ug-map-moldova.png"" />",UG::Europe UG::Sovereign_State
kBGh@}1aE(,Monaco,Monaco, , ,Monaco,Monaco,,,,,"<img src=""ug-flag-monaco.svg"" />","Indonesia (wider, brighter red), Poland (red and white flipped, wider)",,"<img src=""ug-map-monaco.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
s@WA4dY|%c,Montenegro,Montenegro, , ,Podgorica,Podgorica,Cetinje is an honorary capital.,,,,"<img src=""ug-flag-montenegro.png"" />",,,"<img src=""ug-map-montenegro.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
mzohP<k3{#,Netherlands,Nederländerna, , ,Amsterdam,Amsterdam,"While Amsterdam is the official capital, The Hague is the seat of the executive and legislative branches.",,,,"<img src=""ug-flag-netherlands.svg"" />",Luxembourg (lighter blue),,"<img src=""ug-map-netherlands.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
j2D=B[!!bW,Norway,Norge, , ,Oslo,Oslo,,,,,"<img src=""ug-flag-norway.svg"" />","Iceland (blue background, red cross), Faroe Islands (white background, red and blue cross)",,"<img src=""ug-map-norway.png"" />",UG::Europe UG::Sovereign_State
dAKb5_%x?4,Poland,Polen, , ,Warsaw,Warszawa,,,,,"<img src=""ug-flag-poland.svg"" />","Indonesia (white and red flipped, brighter red), Monaco (white and red flipped, narrower)",,"<img src=""ug-map-poland.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
oD=}Dl&](;,Portugal,Portugal, , ,Lisbon,Lissabon,,,,,"<img src=""ug-flag-portugal.svg"" />",,,"<img src=""ug-map-portugal.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
h&LzDmwPs.,Romania,Rumänien, , ,Bucharest,Bukarest,,,,,"<img src=""ug-flag-romania.svg"" />",Chad (slightly darker blue),,"<img src=""ug-map-romania.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
tRl%xwDu>d,Russia,Ryssland, , ,Moscow,Bukarest,,,,,"<img src=""ug-flag-russia.svg"" />",,,"<img src=""ug-map-russia.png"" />",UG::Europe UG::Sovereign_State
his*oE$.bt,San Marino,San Marino, , ,City of San Marino,San Marino,,,,,"<img src=""ug-flag-san_marino.png"" />",,,"<img src=""ug-map-san_marino.png"" />",UG::Europe UG::Sovereign_State
sU}vJmyFCk,Serbia,Serbien, , ,Belgrade,Belgrad,,,,,"<img src=""ug-flag-serbia.png"" />",,,"<img src=""ug-map-serbia.png"" />",UG::Europe UG::Sovereign_State
o_Qs1fsA*`,Slovakia,Slovakien, , ,Bratislava,Bratislava,,,,,"<img src=""ug-flag-slovakia.svg"" />",,,"<img src=""ug-map-slovakia.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
etAIJgAn)8,Slovenia,Slovenien, , ,Ljubljana,Ljubljana,,,,,"<img src=""ug-flag-slovenia.svg"" />",,,"<img src=""ug-map-slovenia.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
db{up5I>x|,Spain,Spanien, , ,Madrid,Madrid,,,,,"<img src=""ug-flag-spain.svg"" />",,,"<img src=""ug-map-spain.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
q]au(Cz(^`,Sweden,Sverige, , ,Stockholm,Stockholm,,,,,"<img src=""ug-flag-sweden.svg"" />",,,"<img src=""ug-map-sweden.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
j^y9}r#a`i,Switzerland,Schweiz, , ,Bern,Bern,Switzerland has no official capital; Bern is the de facto capital.,,,,"<img src=""ug-flag-switzerland.svg"" />",,,"<img src=""ug-map-switzerland.png"" />",UG::Europe UG::Sovereign_State
h(8o@usM_h,Turkey,Turkiet, , ,Ankara,Ankara,,,,,"<img src=""ug-flag-turkey.svg"" />",,,"<img src=""ug-map-turkey.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
